date,pm25_mean,pm25_min,pm25_max,n_measurements,temp_max,temp_min,precip_sum,shortwave_rad_sum,humidity_mean,wind_speed_max,wind_dir_dominant
2023-01-03,6.7,6.5,6.9,2,12.7,4.2,13.1,2.13,98,23.6,112
2023-01-06,9.625,8.2,11.2,4,0.9,-3.7,0.0,5.71,79,18.5,264
2023-01-09,20.25,20.0,20.5,2,5.7,-4.9,0.0,8.79,80,20.2,215
2023-01-12,11.225,10.7,11.6,4,6.4,1.4,0.3,2.64,87,37.9,351
2023-01-15,7.85,7.8,7.9,2,5.1,-3.7,0.0,7.99,69,30.5,166
2023-01-18,5.449999999999999,3.9,6.7,4,3.5,-0.0,9.1,4.85,86,38.2,52
2023-01-21,6.65,5.8,7.5,2,2.5,-2.8,0.0,7.3,76,16.1,229
2023-01-24,14.575,12.4,16.9,4,1.7,-3.4,0.0,6.44,83,21.5,226
2023-01-27,6.9,6.5,7.3,2,2.9,-11.1,0.3,6.44,77,39.6,222
2023-01-30,6.3,5.1,7.3,4,-8.2,-16.7,0.9,10.12,65,23.5,315
2023-02-02,11.95,10.5,13.4,2,-0.2,-11.4,0.0,11.93,63,29.9,267
2023-02-05,11.325,10.8,11.7,4,5.8,-3.3,0.0,11.62,75,30.8,251
2023-02-08,18.75,18.6,18.9,2,5.5,-4.4,0.0,9.54,79,14.2,158
2023-02-11,6.033333333333334,5.7,6.5,3,7.0,-6.1,0.0,13.45,64,22.2,224
2023-02-14,5.7,5.5,5.9,2,11.5,-0.1,3.0,7.03,72,45.7,171
2023-02-17,3.425,3.1,3.7,4,-3.7,-7.7,0.2,15.31,72,38.7,306
2023-02-20,12.2,12.1,12.3,2,3.8,-1.9,0.0,13.14,81,22.5,14
2023-02-23,5.8,5.2,6.3,4,7.4,-4.3,0.1,11.58,77,37.6,261
2023-02-26,13.7,10.5,16.9,2,6.8,-2.6,0.0,16.09,78,21.5,159
2023-03-01,9.166666666666666,8.5,10.0,3,14.1,1.4,4.2,15.42,80,22.0,241
2023-03-02,2.8,2.8,2.8,1,3.1,0.1,0.0,11.64,82,21.4,17
2023-03-04,16.1,14.7,17.5,2,8.8,-2.3,0.8,12.99,85,20.2,252
2023-03-07,3.15,2.8,3.5,4,4.2,1.6,0.0,17.72,76,30.4,29
2023-03-10,3.3,3.3,3.3,1,1.7,0.5,5.7,8.9,89,27.7,16
2023-03-13,4.175,2.8,5.6,4,0.7,-3.1,1.2,9.48,75,43.3,321
2023-03-16,10.8,10.1,11.5,2,10.1,2.9,4.2,5.58,71,29.3,194
2023-03-19,4.65,3.9,5.2,4,4.7,-7.3,0.0,20.56,44,27.2,250
2023-03-22,14.8,14.8,14.8,1,13.2,3.6,2.5,10.37,88,24.3,181
2023-03-24,6.8,6.8,6.8,1,4.6,1.1,3.0,13.61,80,27.8,53
2023-03-25,4.625,4.3,5.2,4,5.6,0.8,16.3,7.53,79,39.5,310
2023-03-28,11.7,10.5,12.9,2,9.0,-2.8,0.6,16.42,69,18.9,263
2023-03-31,10.75,9.1,11.5,4,20.4,9.7,11.8,14.83,75,43.9,204
2023-04-03,5.5,5.3,5.7,2,12.4,4.6,8.9,13.69,75,28.3,70
2023-04-04,10.1,10.1,10.1,1,20.9,5.1,11.3,12.25,89,45.2,114
2023-04-06,4.25,3.6,4.8,4,10.9,0.3,0.0,23.3,55,22.7,264
2023-04-09,12.8,12.8,12.8,2,17.7,3.5,0.0,23.68,59,17.2,164
2023-04-12,12.125,9.8,16.4,4,24.7,12.5,0.0,23.93,55,34.8,226
2023-04-15,11.1,10.7,11.5,2,26.7,16.1,4.1,19.59,58,26.5,188
2023-04-18,7.866666666666667,5.8,11.4,3,13.0,-0.7,0.0,25.91,66,22.7,278
2023-04-20,8.7,8.7,8.7,1,25.8,10.1,5.0,18.15,69,41.0,197
2023-04-21,5.45,3.9,7.0,2,16.0,5.8,0.0,16.53,58,28.8,249
2023-04-24,8.25,7.0,10.1,4,9.8,0.6,0.2,22.17,61,21.2,209
2023-04-27,9.75,9.5,10.0,2,15.7,1.3,0.0,26.71,66,19.7,116
2023-04-30,1.9,1.5,2.4,4,8.9,3.4,3.1,14.53,77,34.0,277
2023-05-03,4.0,4.0,4.0,1,8.1,3.0,0.0,26.43,77,29.8,11
2023-05-06,9.575000000000001,8.4,11.2,4,24.7,12.3,0.8,14.09,65,27.7,155
2023-05-07,14.3,14.3,14.3,1,24.6,8.5,2.5,23.36,92,29.3,187
2023-05-09,5.45,4.9,6.0,2,13.1,7.4,0.0,26.38,90,17.1,32
2023-05-12,18.200000000000003,16.1,19.4,4,19.6,13.7,19.0,9.69,90,16.5,99
2023-05-15,5.75,4.8,6.7,2,13.3,8.6,0.0,23.02,76,17.9,35
2023-05-18,7.75,7.0,8.6,4,19.1,6.9,0.0,28.97,56,24.1,136
2023-05-21,9.3,8.6,10.0,2,22.6,10.8,0.0,29.16,58,21.3,153
2023-05-24,10.2,8.8,12.2,4,15.8,9.4,0.0,28.51,70,31.7,17
2023-05-27,6.4,5.8,7.0,2,19.7,9.2,0.0,27.73,58,21.9,48
2023-05-30,12.95,11.3,13.9,4,26.2,14.2,0.0,24.03,54,17.9,47
2023-06-02,12.75,12.1,13.4,2,27.3,16.3,0.0,28.76,60,20.2,40
2023-06-05,17.674999999999997,15.8,19.5,4,25.1,12.7,0.0,26.55,60,18.3,39
2023-06-08,16.05,15.4,16.7,2,19.7,12.4,0.0,30.72,66,19.5,25
2023-06-11,4.95,4.0,5.9,4,17.1,11.0,4.4,10.7,84,40.3,5
2023-06-14,10.85,10.5,11.2,2,19.1,14.0,0.0,20.56,87,17.0,82
2023-06-17,23.575,22.0,24.9,4,22.5,11.0,0.0,30.07,77,17.5,70
2023-06-20,17.95,17.9,18.0,2,23.0,15.8,0.0,29.6,68,27.4,23
2023-06-23,23.3,22.8,23.8,4,25.3,17.3,0.0,27.45,67,19.5,31
2023-06-26,29.75,29.0,30.5,2,24.3,19.2,5.2,16.82,76,28.0,303
2023-06-29,49.26666666666667,45.7,54.3,3,30.3,20.1,32.8,18.41,78,21.2,176
2023-07-02,9.3,6.3,12.3,2,21.4,16.9,137.8,3.47,98,42.0,17
2023-07-05,14.350000000000001,12.2,16.1,4,29.7,21.0,39.4,23.52,84,19.6,182
2023-07-08,7.25,7.1,7.4,2,20.6,16.6,7.8,16.02,84,20.0,20
2023-07-11,7.95,7.3,9.2,4,28.8,18.4,7.0,23.7,77,25.8,293
2023-07-14,6.65,5.8,7.5,2,31.0,19.5,6.1,22.27,77,25.9,233
2023-07-17,16.95,15.3,19.2,4,23.5,18.2,0.0,28.41,71,18.0,242
2023-07-20,10.55,9.3,11.8,2,30.0,19.5,0.9,25.59,72,27.2,271
2023-07-23,11.25,10.6,11.7,4,26.3,18.0,0.0,26.28,75,15.0,160
2023-07-26,19.15,19.0,19.3,2,32.0,22.9,21.1,18.79,80,29.0,207
2023-07-29,5.275,4.7,5.6,4,23.3,19.8,0.1,23.61,85,23.9,8
2023-08-01,10.2,10.2,10.2,2,27.9,17.8,0.3,23.91,69,13.9,188
2023-08-04,12.125,7.7,14.2,4,25.7,20.2,0.0,26.03,83,23.5,30
2023-08-07,10.6,7.0,14.2,2,23.0,18.7,0.6,17.72,81,23.2,17
2023-08-10,14.6,13.5,15.1,4,27.8,17.0,2.5,23.08,78,15.0,261
2023-08-13,4.55,4.3,4.8,2,24.4,17.8,1.2,15.17,82,20.1,24
2023-08-16,10.925,9.6,14.1,4,26.4,14.3,0.0,25.27,72,24.2,213
2023-08-19,14.75,14.4,15.1,2,26.6,15.7,0.3,21.53,71,24.5,181
2023-08-22,18.475,17.9,19.0,4,28.0,19.8,0.0,22.58,85,18.7,110
2023-08-25,4.0,3.8,4.2,2,24.7,21.1,0.3,16.91,88,20.6,34
2023-08-28,14.075000000000001,13.0,15.6,4,23.5,16.5,0.0,23.69,67,13.5,113
2023-08-31,5.95,5.7,6.2,2,21.7,14.7,0.0,23.75,71,14.8,84
2023-09-03,11.599999999999998,9.7,15.2,4,34.6,19.9,0.0,22.53,55,26.0,223
2023-09-06,11.75,10.6,12.9,2,29.7,20.3,8.4,18.96,73,31.8,233
2023-09-09,9.475,8.0,10.1,4,20.9,15.2,0.0,20.39,76,17.6,23
2023-09-12,6.1,6.1,6.1,2,18.0,14.1,0.3,19.41,82,24.9,7
2023-09-15,11.25,9.4,13.3,4,23.3,12.3,0.0,21.01,71,14.0,164
2023-09-18,4.9,4.6,5.2,2,17.8,11.7,0.4,17.27,84,13.8,42
2023-09-21,15.025,13.2,16.1,4,22.3,17.1,0.4,10.87,82,17.7,109
2023-09-24,9.6,9.2,10.0,2,21.9,13.8,0.0,17.38,75,21.5,109
2023-09-27,8.575,7.8,9.0,4,19.6,17.1,3.5,11.62,88,24.1,106
2023-09-30,10.8,10.3,11.3,2,25.2,14.9,0.0,17.18,82,15.9,151
2023-10-03,11.1,9.2,13.1,4,27.8,15.8,0.0,17.15,65,20.2,179
2023-10-06,5.15,4.5,5.8,2,15.8,7.6,0.4,10.9,67,36.8,264
2023-10-09,4.675,4.0,5.3,4,12.6,6.1,0.0,13.51,63,24.8,292
2023-10-12,9.350000000000001,8.3,10.4,2,15.3,12.2,8.1,6.48,86,27.0,81
2023-10-15,2.2750000000000004,1.8,2.6,4,13.8,8.0,1.4,12.21,76,30.0,349
2023-10-18,8.6,8.0,9.2,2,18.1,7.7,1.8,12.99,75,30.3,185
2023-10-21,7.8500000000000005,7.3,8.8,4,17.6,5.7,3.3,11.8,82,29.1,318
2023-10-24,10.65,10.5,10.8,2,24.5,13.9,0.3,12.14,67,28.3,204
2023-10-27,9.45,8.2,10.3,4,21.4,7.7,2.6,6.18,86,26.5,243
2023-10-30,6.2,5.7,6.7,2,5.0,-1.0,0.0,13.24,63,25.3,298
2023-11-02,7.800000000000001,6.1,9.1,4,10.6,0.4,0.0,11.35,62,25.8,206
2023-11-05,18.3,16.6,20.0,2,13.8,2.0,0.0,8.82,81,24.3,202
2023-11-08,8.833333333333334,8.5,9.3,3,15.3,7.6,12.2,2.9,89,27.7,104
2023-11-11,9.4,8.5,10.3,2,10.0,-0.2,0.0,10.77,76,15.1,219
2023-11-14,12.875,11.8,13.8,4,13.9,0.2,0.0,11.01,64,20.7,198
2023-11-15,16.0,16.0,16.0,1,15.6,5.2,0.0,10.3,65,19.0,223
2023-11-17,4.4,4.0,4.8,2,15.3,2.0,0.7,7.26,79,29.3,341
2023-11-20,5.9,4.3,7.5,4,8.2,5.8,5.1,5.19,77,29.2,91
2023-11-23,5.9,5.8,6.0,2,6.8,0.5,0.0,9.23,72,26.4,328
2023-11-26,12.075,11.3,13.2,4,1.5,-2.6,3.3,2.53,81,30.2,255
2023-11-29,13.350000000000001,11.8,14.9,2,5.6,-6.7,0.0,9.24,66,23.3,230
2023-12-02,4.05,3.1,5.6,4,6.1,3.8,0.4,3.67,86,15.0,29
2023-12-05,6.75,6.0,7.5,2,4.5,-0.6,3.2,2.66,88,21.3,9
2023-12-08,8.7,7.4,9.7,4,13.2,7.1,0.0,7.34,73,29.0,203
2023-12-11,8.9,8.0,9.8,2,1.6,-3.1,0.0,6.9,73,22.9,232
2023-12-14,12.95,12.4,13.5,4,8.4,-1.9,0.0,8.17,70,18.2,230
2023-12-17,9.4,9.4,9.4,1,6.7,2.2,0.0,2.15,88,21.4,248
2023-12-19,6.0,6.0,6.0,1,0.4,-7.6,0.0,7.98,51,22.8,220
2023-12-20,10.4,9.1,11.6,4,5.5,-2.5,0.0,7.91,68,18.7,170
2023-12-23,16.450000000000003,14.8,18.1,2,8.9,6.2,0.2,2.34,98,11.4,121
2023-12-26,4.2749999999999995,3.7,5.3,4,11.3,0.4,0.3,2.87,84,22.7,210
2023-12-29,3.3,3.3,3.3,1,4.9,-1.1,3.6,1.68,92,26.7,348
